mid_point_x,mid_point_y,density,velocity,pressure
-0.496094,0.316406,0.000000,0.000000,0.000000
-0.496094,0.324219,0.000000,0.000000,0.000000
-0.496094,0.332031,0.000000,0.000000,0.000000
-0.496094,0.339844,0.000000,0.000000,0.000000
-0.496094,0.347656,0.000000,0.000000,0.000000
-0.496094,0.355469,0.000000,0.000000,0.000000
-0.496094,0.363281,0.000000,0.000000,0.000000
-0.496094,0.371094,0.000000,0.000000,0.000000
-0.496094,0.378906,0.000000,0.000000,0.000000
-0.496094,0.386719,0.000000,0.000000,0.000000
-0.496094,0.394531,0.000000,0.000000,0.000000
-0.496094,0.402344,0.000000,0.000000,0.000000
-0.496094,0.410156,0.000000,0.000000,0.000000
-0.496094,0.417969,0.000000,0.000000,0.000000
-0.496094,0.425781,0.000000,0.000000,0.000000
-0.496094,0.433594,0.000000,0.000000,0.000000
-0.496094,0.441406,0.000000,0.000000,0.000000
-0.496094,0.449219,0.000000,0.000000,0.000000
-0.496094,0.457031,0.000000,0.000000,0.000000
-0.496094,0.464844,0.000000,0.000000,0.000000
-0.496094,0.472656,0.000000,0.000000,0.000000
-0.496094,0.480469,0.000000,0.000000,0.000000
-0.496094,0.488281,0.000000,0.000000,0.000000
-0.496094,0.496094,1.000000,0.500001,2.500000
-0.488281,-0.496094,1.000000,0.500001,2.500000
-0.488281,-0.488281,1.000000,0.500001,2.500000
-0.488281,-0.480469,1.000000,0.500001,2.500000
-0.488281,-0.472656,1.000000,0.500001,2.500000
-0.488281,-0.464844,1.000000,0.500001,2.500000
-0.488281,-0.457031,1.000000,0.500001,2.500000
-0.488281,-0.449219,1.000000,0.500001,2.500000
-0.488281,-0.441406,1.000000,0.500001,2.500000
-0.488281,-0.433594,1.000000,0.500001,2.500000
-0.488281,-0.425781,1.000000,0.500001,2.500000
-0.488281,-0.417969,1.000000,0.500001,2.500000
-0.488281,-0.410156,1.000000,0.500001,2.500000
-0.488281,-0.402344,1.000000,0.500001,2.500000
-0.488281,-0.394531,1.000000,0.500001,2.500000
-0.488281,-0.386719,1.000000,0.500001,2.500000
-0.488281,-0.378906,1.000000,0.500001,2.500000
-0.488281,-0.371094,1.000000,0.500001,2.500000
-0.488281,-0.363281,1.000000,0.500001,2.500000
-0.488281,-0.355469,1.000000,0.500001,2.500000
-0.488281,-0.347656,1.000000,0.500001,2.500000
-0.488281,-0.339844,1.000000,0.500001,2.500000
-0.488281,-0.332031,1.000000,0.500001,2.500000
-0.488281,-0.324219,1.000000,0.500001,2.500000
-0.488281,-0.316406,1.000000,0.500001,2.500000
-0.488281,-0.308594,1.000000,0.500001,2.500000
-0.488281,-0.300781,1.000000,0.500001,2.500000
-0.488281,-0.292969,1.000000,0.500001,2.500000
-0.488281,-0.285156,1.000000,0.500001,2.500000
-0.488281,-0.277344,1.000000,0.500001,2.500000
-0.488281,-0.269531,1.000000,0.500001,2.500000
-0.488281,-0.261719,2.000000,0.500001,2.500000
-0.488281,-0.253906,2.000000,0.500001,2.500000
-0.488281,-0.246094,2.000000,0.500001,2.500000
-0.488281,-0.238281,2.000000,0.500001,2.500000
-0.488281,-0.230469,2.000000,0.500001,2.500000
-0.488281,-0.222656,2.000000,0.500001,2.500000
-0.488281,-0.214844,2.000000,0.500001,2.500000
-0.488281,-0.207031,2.000000,0.500001,2.500000
-0.488281,-0.199219,2.000000,0.500001,2.500000
-0.488281,-0.191406,2.000000,0.500001,2.500000
-0.488281,-0.183594,2.000000,0.500001,2.500000
-0.488281,-0.175781,2.000000,0.500001,2.500000
-0.488281,-0.167969,2.000000,0.500001,2.500000
-0.488281,-0.160156,2.000000,0.500001,2.500000
-0.488281,-0.152344,2.000000,0.500001,2.500000
-0.488281,-0.144531,2.000000,0.500001,2.500000
-0.488281,-0.136719,2.000000,0.500001,2.500000
-0.488281,-0.128906,2.000000,0.500001,2.500000
-0.488281,-0.121094,2.000000,0.500001,2.500000
-0.488281,-0.113281,2.000000,0.500001,2.500000
-0.488281,-0.105469,2.000000,0.500001,2.500000
-0.488281,-0.097656,2.000000,0.500001,2.500000
-0.488281,-0.089844,2.000000,0.500001,2.500000
-0.488281,-0.082031,2.000000,0.500001,2.500000
-0.488281,-0.074219,2.000000,0.500001,2.500000
-0.488281,-0.066406,2.000000,0.500001,2.500000
-0.488281,-0.058594,2.000000,0.500001,2.500000
